archivo_a,archivo_b,similitud,tamanio_a_kb,extension
receipt-2509_CFPSICB0_ONLINE_0492_2A_A-DAW Entregable 3. Análisis de Factibilidad.txt,receipt-2509_CFPSICB0_ONLINE_0492_2A_A-DAM Entregable 1. Evaluar ideas - Presentacion del proyecto.txt,95.69,0.39,.txt
receipt-2509_CFPSICB0_ONLINE_0492_2A_A-DAW Entregable 3. Análisis de Factibilidad.txt,github-recovery-codes.txt,54.89,0.39,.txt
receipt-2509_CFPSICB0_ONLINE_0492_2A_A-DAW Entregable 3. Análisis de Factibilidad.txt,receipt-2509_CFPSICB0_ONLINE_0492_2A_A-Entregable 6. PruebasTesteo de código.txt,98.48,0.39,.txt
receipt-2509_CFPSICB0_ONLINE_0492_2A_A-DAW Entregable 3. Análisis de Factibilidad.txt,Ejerpublica.java,40.3,0.39,.txt
receipt-2509_CFPSICB0_ONLINE_0492_2A_A-DAW Entregable 3. Análisis de Factibilidad.txt,Ejercicio02_Traspasos.java,64.38,0.39,.txt
receipt-2509_CFPSICB0_ONLINE_0492_2A_A-DAW Entregable 3. Análisis de Factibilidad.txt,Ejercicio03_Calculadora.java,65.16,0.39,.txt
receipt-2509_CFPSICB0_ONLINE_0492_2A_A-DAW Entregable 3. Análisis de Factibilidad.txt,Ejercicio01_Series.java,62.18,0.39,.txt
receipt-2509_CFPSICB0_ONLINE_0492_2A_A-DAW Entregable 3. Análisis de Factibilidad.txt,Ejercicio4_ProgModular.java,66.41,0.39,.txt
receipt-2509_CFPSICB0_ONLINE_0492_2A_A-DAW Entregable 3. Análisis de Factibilidad.txt,ThirdPartyNotices.txt,50.71,0.39,.txt
receipt-2509_CFPSICB0_ONLINE_0492_2A_A-DAW Entregable 3. Análisis de Factibilidad.txt,CodeHelper.md,48.48,0.39,.txt
receipt-2509_CFPSICB0_ONLINE_0492_2A_A-DAW Entregable 3. Análisis de Factibilidad.txt,README.md,52.78,0.39,.txt
receipt-2509_CFPSICB0_ONLINE_0492_2A_A-DAW Entregable 3. Análisis de Factibilidad.txt,README.md,52.01,0.39,.txt
receipt-2509_CFPSICB0_ONLINE_0492_2A_A-DAW Entregable 3. Análisis de Factibilidad.txt,README.md,44.89,0.39,.txt
receipt-2509_CFPSICB0_ONLINE_0492_2A_A-DAW Entregable 3. Análisis de Factibilidad.txt,LICENSE.txt,49.11,0.39,.txt
receipt-2509_CFPSICB0_ONLINE_0492_2A_A-DAW Entregable 3. Análisis de Factibilidad.txt,SECURITY.md,50.83,0.39,.txt
receipt-2509_CFPSICB0_ONLINE_0492_2A_A-DAW Entregable 3. Análisis de Factibilidad.txt,ThirdPartyNotices.txt,42.11,0.39,.txt
receipt-2509_CFPSICB0_ONLINE_0492_2A_A-DAW Entregable 3. Análisis de Factibilidad.txt,README.md,44.13,0.39,.txt
receipt-2509_CFPSICB0_ONLINE_0492_2A_A-DAW Entregable 3. Análisis de Factibilidad.txt,README.md,50.74,0.39,.txt
receipt-2509_CFPSICB0_ONLINE_0492_2A_A-DAW Entregable 3. Análisis de Factibilidad.txt,README.md,48.81,0.39,.txt
receipt-2509_CFPSICB0_ONLINE_0492_2A_A-DAW Entregable 3. Análisis de Factibilidad.txt,README.md,48.05,0.39,.txt
receipt-2509_CFPSICB0_ONLINE_0492_2A_A-DAW Entregable 3. Análisis de Factibilidad.txt,README.md,49.55,0.39,.txt
receipt-2509_CFPSICB0_ONLINE_0492_2A_A-DAW Entregable 3. Análisis de Factibilidad.txt,README.md,47.72,0.39,.txt
receipt-2509_CFPSICB0_ONLINE_0492_2A_A-DAW Entregable 3. Análisis de Factibilidad.txt,README.md,45.07,0.39,.txt
receipt-2509_CFPSICB0_ONLINE_0492_2A_A-DAW Entregable 3. Análisis de Factibilidad.txt,LICENSE.txt,49.86,0.39,.txt
receipt-2509_CFPSICB0_ONLINE_0492_2A_A-DAW Entregable 3. Análisis de Factibilidad.txt,README.md,50.39,0.39,.txt
receipt-2509_CFPSICB0_ONLINE_0492_2A_A-DAW Entregable 3. Análisis de Factibilidad.txt,README.md,52.26,0.39,.txt
receipt-2509_CFPSICB0_ONLINE_0492_2A_A-DAW Entregable 3. Análisis de Factibilidad.txt,README.md,46.17,0.39,.txt
receipt-2509_CFPSICB0_ONLINE_0492_2A_A-DAW Entregable 3. Análisis de Factibilidad.txt,README.md,49.26,0.39,.txt
ficherocifrado.txt,receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF2 AccDatos.txt,56.56,0.02,.txt
ficherocifrado.txt,receipt-2602_CFPSICB0_ONLINE_MPO_2A_A-DAM_EC03_NF1_GameDesign.txt,56.18,0.02,.txt
ficherocifrado.txt,receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF2 Actividad Servicios y procesos.txt,57.19,0.02,.txt
ficherocifrado.txt,receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF3 AccDatos.txt,56.56,0.02,.txt
ficherocifrado.txt,receipt-2602_CFPSICB0_ONLINE_0489_2A_A-DAM_EC_Teorico_Practico_NF1_Multimedia_y_moviles.txt,55.51,0.02,.txt
ficherocifrado.txt,receipt-250275105_0179_1A_A-Speaking_Examen 1ª convo. DAM_0179_ Inglés Profesional.txt,55.89,0.02,.txt
ficherocifrado.txt,receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF4 AccDatos.txt,56.36,0.02,.txt
ficherocifrado.txt,README.md,57.76,0.02,.txt
ficherocifrado.txt,receipt-2509_DAM_O_EE_2A-Aplazamiento.txt,56.99,0.02,.txt
ficherocifrado.txt,receipt-250275105_0179_1A_A-DAM EC TEST NF 1 PROFESSIONAL ENGLISH- SPEAKING.txt,55.25,0.02,.txt
ficherocifrado.txt,receipt-250275105_0179_1A_A-DAM EC TEST NF 2 PROFESSIONAL ENGLISH - LISTENING.txt,54.57,0.02,.txt
ficherocifrado.txt,receipt-2509_CFPSICB0_ONLINE_0486_2A_A-DAM EC NF1 AccDatos.txt,55.63,0.02,.txt
ficherocifrado.txt,receipt-2509_CFPSICB0_ONLINE_0490_2A_A-DAM EC NF1 Actividad Servicios y procesos.txt,58.54,0.02,.txt
ficherocifrado.txt,receipt-2602_CFPSICB0_ONLINE_0491_2A_A-DAM_EC_NF1_Sistemas_de_gestión_empresarial - Actividad 80 nota.txt,58.04,0.02,.txt
ficherocifrado.txt,receipt-2602_CFPSICB0_ONLINE_MPO_2A_A-DAM_EC01_NF1_GameDesign.txt,55.4,0.02,.txt
ficherocifrado.txt,receipt-2509_CFPSICB0_ONLINE_0488_2A_A-DAM EC NF2 ACTIVIDAD DESARROLLO DE INTERFACES.txt,58.42,0.02,.txt
ficherocifrado.txt,receipt-2509_CFPSICB0_ONLINE_0492_2A_A-DAM Entregable 2. Organización del proyecto.txt,54.31,0.02,.txt
ficherocifrado.txt,receipt-2509_CFPSICB0_ONLINE_0492_2A_A-Entregable 5. Estructura del proyecto  Maquetación  Usabilidad.txt,52.9,0.02,.txt
ficherocifrado.txt,receipt-2509_CFPSICB0_ONLINE_0492_2A_A-DAM Entregable 1. Evaluar ideas - Presentacion del proyecto.txt,54.09,0.02,.txt
ficherocifrado.txt,github-recovery-codes.txt,42.8,0.02,.txt
ficherocifrado.txt,receipt-2509_CFPSICB0_ONLINE_0492_2A_A-Entregable 6. PruebasTesteo de código.txt,54.12,0.02,.txt
ficherocifrado.txt,Ejerpublica.java,51.11,0.02,.txt
ficherocifrado.txt,Ejercicio02_Traspasos.java,51.71,0.02,.txt
ficherocifrado.txt,Ejercicio03_Calculadora.java,50.88,0.02,.txt
ficherocifrado.txt,Ejercicio01_Series.java,52.33,0.02,.txt
ficherocifrado.txt,Ejercicio4_ProgModular.java,53.43,0.02,.txt
